Episode,Return
999,78.29745495665209
1999,139.30878662399107
2999,208.92868706402447
3999,180.74887801173978
4999,248.99330244875537
5999,236.92934345251402
6999,287.7147699592773
7999,226.6534463346124
8999,217.94549502397484
9999,257.48874004712883
10999,288.8760517223874
11999,286.0805668588663
12999,287.76814383514676
13999,298.8251072562145
14999,288.454867392588
15999,310.8213505518176
16999,290.25644122499415
17999,277.89067725938276
18999,197.19469408312028
19999,224.67881139226307
20999,222.19486055574322
21999,253.30249042506983
22999,253.31203847404677
23999,207.04238361154339
24999,267.5599625653231
25999,241.78824616153966
26999,242.99108085418007
27999,237.48255945185875
28999,252.83734639044752
29999,266.891236511448
30999,255.52896330734424
31999,213.1872447196193
32999,203.2746751975395
33999,254.87453456220464
34999,228.94152544394493
35999,245.74407226118532
36999,258.35663046878665
37999,231.14808373346986
38999,240.43436477637124
39999,234.3915770453281
40999,230.55983864385811
41999,212.77180095485627
42999,214.96501174324584
43999,214.56543042197262
44999,261.52320882695915
45999,189.13672389834943
46999,192.2776132542036
47999,256.8298955411366
48999,237.03089952234023
49999,237.28637566191233
